"Date","Price","Open","High","Low","Change %"
"Jun 14, 2020","1,535.035","1,533.884","1,535.035","1,533.884","0.09%"
"Jun 07, 2020","1,533.689","1,532.371","1,533.689","1,532.371","0.11%"
"May 31, 2020","1,532.012","1,531.348","1,532.012","1,531.348","0.05%"
"May 24, 2020","1,531.174","1,529.665","1,531.174","1,529.665","0.11%"
"May 17, 2020","1,529.481","1,528.755","1,529.481","1,528.755","0.06%"
"May 10, 2020","1,528.566","1,527.516","1,528.566","1,527.516","0.09%"
"May 03, 2020","1,527.176","1,526.161","1,527.176","1,526.161","0.09%"
"Apr 26, 2020","1,525.806","1,525.269","1,525.806","1,525.269","0.05%"
"Apr 19, 2020","1,525.110","1,524.083","1,525.110","1,524.083","0.08%"
"Apr 12, 2020","1,523.906","1,522.692","1,523.906","1,522.692","0.09%"
"Apr 05, 2020","1,522.509","1,521.500","1,522.509","1,521.500","0.08%"
"Mar 29, 2020","1,521.338","1,520.713","1,521.338","1,520.713","0.05%"
"Mar 22, 2020","1,520.526","1,519.526","1,520.526","1,519.526","0.08%"
"Mar 15, 2020","1,519.345","1,518.446","1,519.345","1,518.446","0.07%"
"Mar 08, 2020","1,518.311","1,517.358","1,518.311","1,517.358","0.07%"
"Mar 01, 2020","1,517.197","1,516.139","1,517.197","1,516.139","0.08%"
"Feb 23, 2020","1,515.982","1,514.934","1,515.982","1,514.934","0.08%"
"Feb 16, 2020","1,514.746","1,513.604","1,514.746","1,513.604","0.09%"
"Feb 09, 2020","1,513.411","1,512.263","1,513.411","1,512.263","0.09%"
"Feb 02, 2020","1,512.076","1,511.073","1,512.076","1,511.073","0.07%"
"Jan 26, 2020","1,511.058","1,510.055","1,511.058","1,510.055","0.08%"
"Jan 19, 2020","1,509.890","1,508.770","1,509.890","1,508.770","0.09%"
"Jan 12, 2020","1,508.576","1,507.198","1,508.576","1,507.198","0.13%"
"Jan 05, 2020","1,506.593","1,506.593","1,506.593","1,506.593","0.05%"
"Dec 29, 2019","1,505.778","1,505.514","1,505.778","1,505.514","0.02%"
"Dec 22, 2019","1,505.475","1,505.190","1,505.475","1,505.190","0.02%"
