"Date","Price","Open","High","Low","Change %"
"Nov 01, 2020","1,587.590","1,556.860","1,587.590","1,556.860","2.05%"
"Oct 25, 2020","1,555.670","1,556.220","1,556.220","1,555.670","0.15%"
"Oct 18, 2020","1,553.390","1,544.080","1,557.330","1,544.080","0.77%"
"Oct 11, 2020","1,541.460","1,527.540","1,541.460","1,527.540","1.08%"
"Oct 04, 2020","1,525.010","1,525.340","1,526.490","1,524.340","0.11%"
"Sep 27, 2020","1,523.310","1,520.100","1,523.310","1,519.680","0.38%"
"Sep 20, 2020","1,517.610","1,521.540","1,521.540","1,517.610","-0.12%"
"Sep 13, 2020","1,519.450","1,518.520","1,519.450","1,517.490","0.35%"
"Sep 06, 2020","1,514.110","1,520.850","1,521.880","1,514.110","-0.23%"
"Aug 30, 2020","1,517.650","1,524.980","1,524.980","1,517.340","-1.37%"
"Aug 23, 2020","1,538.680","1,538.680","1,538.680","1,538.680","-0.09%"
"Aug 16, 2020","1,540.090","1,537.980","1,540.090","1,537.980","0.32%"
"Aug 09, 2020","1,535.170","1,532.270","1,537.140","1,532.270","0.29%"
"Aug 02, 2020","1,530.740","1,524.080","1,530.880","1,524.080","0.23%"
"Jul 26, 2020","1,527.190","1,517.540","1,527.190","1,517.540","0.73%"
"Jul 19, 2020","1,516.100","1,494.170","1,517.300","1,494.170","1.51%"
"Jul 12, 2020","1,493.530","1,486.530","1,494.440","1,486.530","0.67%"
"Jul 05, 2020","1,483.620","1,473.170","1,483.620","1,473.170","0.73%"
"Jun 28, 2020","1,472.820","1,471.080","1,472.900","1,471.080","-0.05%"
"Jun 21, 2020","1,473.490","1,469.700","1,477.350","1,469.700","0.53%"
"Jun 14, 2020","1,465.770","1,461.330","1,469.350","1,461.330","0.38%"
"Jun 07, 2020","1,460.160","1,459.750","1,465.320","1,458.370","-0.43%"
"May 31, 2020","1,466.440","1,457.920","1,481.500","1,457.920","1.48%"
"May 24, 2020","1,445.060","1,442.910","1,452.370","1,442.630","0.63%"
"May 17, 2020","1,436.050","1,418.690","1,436.050","1,418.690","1.84%"
"May 10, 2020","1,410.120","1,392.490","1,410.120","1,390.900","1.34%"
"May 03, 2020","1,391.540","1,404.600","1,404.600","1,388.170","-0.72%"
"Apr 26, 2020","1,401.670","1,409.410","1,409.410","1,401.670","-1.21%"
"Apr 19, 2020","1,418.850","1,409.160","1,418.850","1,409.160","1.66%"
"Apr 12, 2020","1,395.750","1,384.580","1,398.570","1,384.580","0.99%"
"Apr 05, 2020","1,382.090","1,380.820","1,382.090","1,375.540","-0.09%"
"Mar 29, 2020","1,383.270","1,380.460","1,383.270","1,378.330","0.68%"
"Mar 22, 2020","1,373.910","1,367.150","1,373.910","1,344.350","0.49%"
"Mar 15, 2020","1,367.150","1,433.560","1,433.560","1,367.150","-4.56%"
"Mar 08, 2020","1,432.540","1,494.710","1,494.710","1,432.540","-5.23%"
"Mar 01, 2020","1,511.590","1,452.180","1,511.590","1,452.180","3.64%"
"Feb 23, 2020","1,458.500","1,497.740","1,497.740","1,458.500","-2.86%"
"Feb 16, 2020","1,501.390","1,496.760","1,502.170","1,496.760","0.36%"
"Feb 09, 2020","1,495.930","1,487.870","1,497.390","1,487.870","0.35%"
"Feb 02, 2020","1,490.770","1,474.700","1,490.770","1,474.700","0.88%"
"Jan 26, 2020","1,477.830","1,480.190","1,480.190","1,476.420","-0.67%"
"Jan 19, 2020","1,487.730","1,461.210","1,487.730","1,461.210","2.01%"
"Jan 12, 2020","1,458.420","1,460.280","1,460.280","1,455.810","0.18%"
"Jan 05, 2020","1,455.790","1,441.950","1,455.790","1,441.950","0.79%"
"Dec 29, 2019","1,444.310","1,438.540","1,444.310","1,438.540","0.59%"
"Dec 22, 2019","1,435.790","1,433.700","1,435.790","1,433.700","0.47%"
"Dec 15, 2019","1,429.100","1,421.640","1,429.100","1,416.180","0.08%"
"Dec 08, 2019","1,427.970","1,437.370","1,437.370","1,427.970","-0.55%"
"Dec 01, 2019","1,435.910","1,429.990","1,435.910","1,429.990","0.07%"
"Nov 24, 2019","1,434.950","1,437.240","1,437.430","1,434.950","-0.13%"
"Nov 17, 2019","1,436.880","1,438.770","1,439.720","1,435.610","-0.16%"
"Nov 10, 2019","1,439.180","1,443.970","1,443.970","1,436.920","-0.60%"
"Nov 03, 2019","1,447.940","1,433.220","1,447.940","1,433.220","1.05%"
"Oct 27, 2019","1,432.870","1,429.400","1,433.670","1,428.860","0.53%"
"Oct 20, 2019","1,425.350","1,418.470","1,425.350","1,418.470","0.73%"
"Oct 13, 2019","1,415.050","1,410.720","1,416.430","1,410.720","0.76%"
"Oct 06, 2019","1,404.400","1,407.250","1,407.250","1,404.120","-0.09%"
"Sep 29, 2019","1,405.640","1,402.460","1,405.640","1,402.460","0.48%"
"Sep 22, 2019","1,398.940","1,401.410","1,401.410","1,397.120","-0.20%"
"Sep 15, 2019","1,401.750","1,403.210","1,405.730","1,401.750","-0.41%"
"Sep 08, 2019","1,407.580","1,399.860","1,407.580","1,398.800","0.90%"
"Sep 01, 2019","1,394.970","1,394.870","1,395.610","1,392.470","0.20%"
"Aug 25, 2019","1,392.240","1,396.000","1,396.000","1,390.560","-0.45%"
"Aug 18, 2019","1,398.570","1,394.130","1,401.790","1,394.130","0.82%"
"Aug 11, 2019","1,387.220","1,389.270","1,389.270","1,381.390","-0.23%"
"Aug 04, 2019","1,390.480","1,364.820","1,390.480","1,361.660","1.43%"
"Jul 28, 2019","1,370.850","1,399.670","1,399.670","1,370.850","-2.35%"
"Jul 21, 2019","1,403.810","1,403.400","1,406.050","1,400.050","-0.23%"
"Jul 14, 2019","1,407.090","1,409.880","1,411.050","1,407.090","0.57%"
"Jul 07, 2019","1,399.060","1,399.060","1,399.060","1,399.060","0.01%"
"Jun 30, 2019","1,398.940","1,398.940","1,398.940","1,398.940","1.39%"
"Jun 23, 2019","1,379.780","1,379.780","1,379.780","1,379.780","0.76%"
"Jun 16, 2019","1,369.430","1,369.430","1,369.430","1,369.430","1.55%"
"Jun 09, 2019","1,348.540","1,348.540","1,348.540","1,348.540","1.53%"
"May 26, 2019","1,328.200","1,328.200","1,328.200","1,328.200","0.36%"
"May 19, 2019","1,323.420","1,323.420","1,323.420","1,323.420","0.51%"
"May 12, 2019","1,316.750","1,316.750","1,316.750","1,316.750","0.03%"
"May 05, 2019","1,316.290","1,316.290","1,316.290","1,316.290","-1.23%"
